"change_id","ccfinder","cloneworks","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"43423","43425",,,,,"43425",,,
"43424",,"43421",,,,,,,
"43425","43422, 43423",,"43422",,,"43422, 43423",,,"43422"
"43430",,,,"43429",,,,,
"43454",,,,"43453",,,,,
"43463",,,"43483",,,,,,
"43473","43475",,,,,,,,
"43475","43473",,,,,,,,
"43476",,,,,,,,"43477, 43478",
"43478",,,,,,,,"43476, 43477",
"43483",,,"43463",,,,,,
"43509",,"43513",,,,,,,
"43513",,"43509",,,,,,,
"43548",,,,,,,,"43552, 43553, 43554, 43555",
"43549","43552","43552, 43553, 43554, 43555","43552",,,,"43552, 43553, 43554, 43555","43552, 43553, 43554, 43555",
"43550","43552","43552, 43553, 43554, 43555","43552",,,,"43552, 43553, 43554, 43555","43552, 43553, 43554, 43555",
"43551","43552, 43553, 43554, 43555","43552, 43553, 43554, 43555","43552, 43553, 43554",,,"43552, 43553, 43554, 43555","43552, 43553, 43554, 43555","43552, 43553, 43554, 43555","43552, 43553, 43554"
"43552","43549, 43550, 43551","43549, 43550, 43551","43549, 43550, 43551",,,"43551","43549, 43550, 43551",,"43551"
"43553","43551","43549, 43550, 43551","43551",,,"43551","43549, 43550, 43551",,"43551"
"43554","43551","43549, 43550, 43551","43551",,,"43551","43549, 43550, 43551",,"43551"
"43555","43551","43549, 43550, 43551",,,,"43551","43549, 43550, 43551",,
"43560",,"43561, 43564",,,,,,,
"43561",,"43560, 43564",,,,,,,
"43564",,"43560, 43561, 43584",,,,,,,
"43565",,"43566",,"43566, 43579, 43580",,,,,
"43566",,"43565",,"43565, 43579, 43580",,,,,
"43567","43571, 43572, 43573, 43574, 43575, 43576, 43577, 43578, 43579, 43580, 43581, 43582",,,"43575, 43576, 43579, 43580",,,,,
"43568","43571, 43572, 43573, 43574, 43575, 43576, 43577, 43578, 43579, 43580, 43581, 43582",,,"43575, 43576, 43579, 43580",,,,,
"43569","43571, 43572, 43573, 43574, 43575, 43576, 43577, 43578, 43579, 43580, 43581, 43582",,,,,,,,
"43570","43571, 43572, 43573, 43574, 43575, 43576, 43577, 43578, 43579, 43580, 43581, 43582",,,,,,,,
"43571","43575, 43576, 43577, 43578, 43579, 43580, 43581, 43582",,,,,,,,
"43572","43575, 43576, 43577, 43578, 43579, 43580, 43581, 43582",,,,,,,,
"43573","43575, 43576, 43577, 43578, 43579, 43580, 43581, 43582",,,,,,,,
"43574","43575, 43576, 43577, 43578, 43579, 43580, 43581, 43582",,,,,,,,
