"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42713",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42723",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42725",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42731, 42732, 42736",,,,,,,,
"42726",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42731, 42732, 42736",,,,,,,,
"42731",,,"42732","42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42732, 42736",,,,,,,,
"42732",,,"42731","42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42736",,,,,,,,
"42733",,,,,,,"42626, 42747",,,,,
"42734","42748",,,"42748","42748","42748",,,"42748","42748",,
"42736",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732",,,,,,,,
"42737",,,,"42738, 42740",,,"42738, 42740",,,"42738, 42740","42740",
"42738",,,,"42737, 42740",,,"42602, 42737",,,"42737, 42740",,
"42739",,,,,,,"42597, 42670, 42671",,,,,
"42740",,,,"42737, 42738",,,"42737",,,"42737, 42738","42737",
"42742",,,,,,,"42671",,,,,
"42745",,,,,,,"42643, 42644",,,,,
"42746",,,,,,,"42631, 42643, 42644, 42652, 42690, 42757",,,,,
